from_name,property,to_name
动态存储方式,同义关系,静态存储方式
静态存储方式,同义关系,函数调用时的数据传递
全局变量,同义关系,局部变量
局部变量,同义关系,函数调用时的数据传递
外部函数,同义关系,内部函数
内部函数,同义关系,函数调用时的数据传递
数组名作函数参数,subclassof,函数调用时的数据传递
数组元素作函数实参,subclassof,函数调用时的数据传递
函数调用时的数据传递,subclassof,name
数组元素的指针,subclassof,指针变量
返回指针值的函数,subclassof,指针变量
定义指针变量,subclassof,指针变量
内存的动态分配,subclassof,指针数组
malloc函数,subclassof,指针数组
calloc函数,subclassof,指针数组
free函数,subclassof,指针数组
realloc函数,subclassof,指针数组
指针数组,type,指针
指针变量,type,指针
指针,subclassof,name
ferror函数,同义关系,打开与关闭文件
clearerr 函数,同义关系,打开与关闭文件
文件读写的出错检测,同义关系,打开与关闭文件
文件位置标记的定位,同义关系,打开与关闭文件
打开与关闭文件,type,程序文件
数据文件,同义关系,程序文件
文件名,同义关系,程序文件
程序文件,subclassof,name
break语句,前驱关系,循环结构程序设计
continue语句,前驱关系,循环结构程序设计
循环结构程序设计,subclassof,name
输出字符串的函数,subclassof,字符数组
转换为小写的函数,subclassof,字符数组
转换为大写的函数,subclassof,字符数组
测字符串长度的函数,subclassof,字符数组
字符串比较函数,subclassof,字符数组
字符串复制函数,subclassof,字符数组
字符串连接函数,subclassof,字符数组
字符数组的输入输出,subclassof,字符数组
字符数组,subclassof,数组
二维数组,subclassof,数组
数组,subclassof,name
标识符,同义关系,常量
整型数据,同义关系,常量
字符型数据,同义关系,常量
变量,同义关系,常量
浮点型数据,同义关系,常量
常量,subclassof,C语句分类
字符数据的输入输出,subclassof,C语句分类
C语句分类,subclassof,name
汇编语言,subclassof,计算机语言
机器语言,subclassof,计算机语言
高级语言,subclassof,计算机语言
C语言特点,同义关系,计算机程序
计算机语言,同义关系,计算机程序
计算机程序,subclassof,name
结构体指针,subclassof,结构体
结构体变量的初始化和引用,subclassof,结构体
结构体,前驱关系,typedef声明类型
结构体,前驱关系,共用体类型
结构体,前驱关系,枚举类型
建立动态链表,subclassof,链表
链表,同义关系,结构体
结构体,subclassof,name
条件运算符,前驱关系,条件表达式
条件表达式,subclassof,关系运算符
强制类型转换,subclassof,关系运算符
字符常量,subclassof,关系运算符
整型常量,subclassof,关系运算符
赋值表达式,subclassof,关系运算符
算术表达式,subclassof,关系运算符
逻辑运算符,前驱关系,逻辑表达式
逻辑运算符,同义关系,关系运算符
逻辑表达式,subclassof,关系运算符
算法的描述方法,同义关系,算法的特征
算法的特征,subclassof,name
关系运算符,subclassof,name
